log_likelihood_fail_linear_any_nominal,log_likelihood_fail_linear_any_sampled,log_likelihood_fail_log_any_nominal,log_likelihood_fail_log_any_sampled,log_likelihood_fail_linear_all_nominal,log_likelihood_fail_linear_all_sampled,log_likelihood_fail_log_all_nominal,log_likelihood_fail_log_all_sampled,log_likelihood_fail_linear_half_nominal,log_likelihood_fail_linear_half_sampled,log_likelihood_fail_log_half_nominal,log_likelihood_fail_log_half_sampled
-32.219095422386374,-26.460087031142344,-32.219095422386374,-26.460087031142344,NaN,NaN,NaN,NaN,-34.28593271050507,-24.35229955582307,-32.652254065994825,-30.317072578149073
-32.652254065994825,-30.317072578149073,-32.652254065994825,-30.317072578149073,NaN,NaN,NaN,NaN,-34.47101680155514,-27.48189785578188,-32.73079502312017,-22.304605247628743
-32.73079502312017,-22.304605247628743,-32.73079502312017,-22.304605247628743,NaN,NaN,NaN,NaN,-34.68842759766754,-26.889074527676655,-33.443062974880355,-26.42306657288924
-33.27660473640958,-27.690413769150588,-33.27660473640958,-27.690413769150588,NaN,NaN,NaN,NaN,-34.737601325272344,-29.314831380912096,-33.66810369242053,-25.824185127896875
-33.30642003498639,-24.336742895908667,-33.30642003498639,-24.336742895908667,NaN,NaN,NaN,NaN,-35.20052325246469,-23.690419132677118,-33.93805282916266,-24.61968141660225
-33.443062974880355,-26.42306657288924,-33.443062974880355,-26.42306657288924,NaN,NaN,NaN,NaN,-35.27061512307737,-29.025694835150496,-34.11523140995424,-22.455930147082846
-33.48677793125827,-23.564691821936137,-33.48677793125827,-23.564691821936137,NaN,NaN,NaN,NaN,-35.36244083351743,-28.953063314597184,-34.18389538075536,-23.077669567696834
-33.66810369242053,-25.824185127896875,-33.66810369242053,-25.824185127896875,NaN,NaN,NaN,NaN,-35.42737435864099,-24.18910304573351,-34.28593271050507,-24.35229955582307
-33.82316693041238,-20.65288010450208,-33.82316693041238,-20.65288010450208,NaN,NaN,NaN,NaN,-35.43312570698195,-26.82190774701757,-34.329991253387774,-25.415885586029145
-33.93805282916266,-24.61968141660225,-33.93805282916266,-24.61968141660225,NaN,NaN,NaN,NaN,-35.461126668736,-24.869068617792006,-34.42888268765461,-27.465937911799347
