file_name	feature_index	geometry_type	part_index	coordinates
Sim2.json	0	Point	0	[343746.1113623559, 3768297.1283242595]
Sim2.json	1	Point	0	[343430.21079738834, 3768514.23180115]
Sim2.json	2	Point	0	[343084.6491295991, 3768945.9303098535]
Sim2.json	3	Point	0	[343371.1548256153, 3769017.713511099]
Sim2.json	4	Point	0	[343693.86810250935, 3768990.1801929977]
Sim2.json	5	Point	0	[342616.95268481725, 3768917.1079796297]
Sim2.json	6	Point	0	[342861.1115165845, 3769107.165628429]
Sim2.json	7	Point	0	[343032.2083685439, 3768568.537821612]
Sim2.json	8	Point	0	[342839.01407585636, 3768778.077125882]
Sim2.json	9	Point	0	[343250.1495570879, 3768402.9632924576]
